image,dice_score
ALL_1.bmp,0.91
ALL_2.bmp,0.584
ALL_3.bmp,0.528
ALL_4.bmp,0.52
ALL_5.bmp,0.317
ALL_6.bmp,0.785
ALL_7.bmp,0.593
ALL_8.bmp,0.501
ALL_9.bmp,0.677
ALL_10.bmp,0.396
